id,qb_question,qb_answer,qb_choice1,qb_choice2,qb_choice3,qb_topic_id,topic,qa,qa_pos,qa_pos_bigram,qa_pos_trigram,qa_parse_tree,ss,ss_pos,ss_pos_bigram,ss_pos_trigram,ss_parse_tree,before,before_last,before_last_pos,before_pos,before_pos_bigram,before_pos_trigram,before_parse_tree,after,after_first,after_first_pos,after_pos,after_pos_bigram,after_pos_trigram,after_parse_tree,ans,ans_first,ans_last,ans_pos,ans_first_pos,ans_last_pos,ans_is_first,ans_is_last,ans_length
851,I am waiting * the train.,for,by,na,na,1,prepositions,I am waiting for the train.,PRP VBP VBG IN DT NN,PRP_VBP VBP_VBG VBG_IN IN_DT DT_NN,PRP_VBP_VBG VBP_VBG_IN VBG_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBP_VP VP_VBG_PP PP_IN_NP NP_DT_NN,I am waiting for the train,PRP VBP VBG IN DT NN,PRP_VBP VBP_VBG VBG_IN IN_DT DT_NN,PRP_VBP_VBG VBP_VBG_IN VBG_IN_DT IN_DT_NN,S_NP_VP NP_PRP VP_VBP_VP VP_VBG_PP PP_IN_NP NP_DT_NN,I am waiting,waiting,VBG,PRP VBP VBG,PRP_VBP VBP_VBG,PRP_VBP_VBG,S_NP_VP NP_PRP VP_VBP_VP VP_VBG,the train,the,DT,DT NN,DT_NN,,NP_DT_NN,for,for,for,IN,IN,IN,y,y,1.0
852,She shouted * help but no one could hear her.,for,about,na,na,1,prepositions,She shouted for help but no one could hear her.,PRP VBD IN NN CC DT NN MD VB NN,PRP_VBD VBD_IN IN_NN NN_CC CC_DT DT_NN NN_MD MD_VB VB_NN,PRP_VBD_IN VBD_IN_NN IN_NN_CC NN_CC_DT CC_DT_NN DT_NN_MD NN_MD_VB MD_VB_NN,S_S_CC_S_. S_NP_VP NP_PRP VP_VBD_PP PP_IN_NP NP_NN S_NP_VP NP_DT_NN VP_MD_VP VP_VB_NP NP_PRP,She shouted for help but no one,PRP VBD IN NN CC DT NN,PRP_VBD VBD_IN IN_NN NN_CC CC_DT DT_NN,PRP_VBD_IN VBD_IN_NN IN_NN_CC NN_CC_DT CC_DT_NN,S_NP_VP NP_PRP VP_VBD_PP PP_IN_NP NP_NP_PP NP_NN PP_IN_NP NP_DT_NN,She shouted,shouted,VBN,PRP VBD,PRP_VBD,,S_NP_VP NP_PRP VP_VBD,help but no one,help,NN,NN CC DT NN,NN_CC CC_DT DT_NN,NN_CC_DT CC_DT_NN,NP_NP_CC_NP NP_NN NP_DT_NN,for,for,for,IN,IN,IN,y,y,1.0
853,He has a penchant * antiques.,for,with,na,na,1,prepositions,He has a penchant for antiques.,PRP VBZ DT NN IN NN,PRP_VBZ VBZ_DT DT_NN NN_IN IN_NN,PRP_VBZ_DT VBZ_DT_NN DT_NN_IN NN_IN_NN,S_NP_VP_. NP_PRP VP_VBZ_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_NNS,He has a penchant for antiques,PRP VBZ DT NN IN NNS,PRP_VBZ VBZ_DT DT_NN NN_IN IN_NNS,PRP_VBZ_DT VBZ_DT_NN DT_NN_IN NN_IN_NNS,S_NP_VP NP_PRP VP_VBZ_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_NNS,He has a penchant,penchant,NN,PRP VBZ DT NN,PRP_VBZ VBZ_DT DT_NN,PRP_VBZ_DT VBZ_DT_NN,S_NP_VP NP_PRP VP_VBZ_NP NP_DT_NN,antiques,antiques,NNS,NNS,,,NP_NNS,for,for,for,IN,IN,IN,y,y,1.0
854,He is going * the mall with his friends.,to,for,na,na,1,prepositions,He is going to the mall with his friends.,PRP VBZ VBG TO DT NN IN PRP$ NN,PRP_VBZ VBZ_VBG VBG_TO TO_DT DT_NN NN_IN IN_PRP$ PRP$_NN,PRP_VBZ_VBG VBZ_VBG_TO VBG_TO_DT TO_DT_NN DT_NN_IN NN_IN_PRP$ IN_PRP$_NN,S_NP_VP_. NP_PRP VP_VBZ_VP VP_VBG_PP PP_IN_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NNS,He is going to the mall with his,PRP VBZ VBG TO DT NN IN PRP$,PRP_VBZ VBZ_VBG VBG_TO TO_DT DT_NN NN_IN IN_PRP$,PRP_VBZ_VBG VBZ_VBG_TO VBG_TO_DT TO_DT_NN DT_NN_IN NN_IN_PRP$,S_NP_VP NP_PRP VP_VBZ_VP VP_VBG_PP PP_IN_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP$,He is going,going,VBG,PRP VBZ VBG,PRP_VBZ VBZ_VBG,PRP_VBZ_VBG,S_NP_VP NP_PRP VP_VBZ_VP VP_VBG,the mall with his,the,DT,DT NN IN PRP$,DT_NN NN_IN IN_PRP$,DT_NN_IN NN_IN_PRP$,NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP$,to,to,to,TO,TO,TO,y,y,1.0
855,"Power belongs * the people, not the government.",to,with,na,na,1,prepositions,"Power belongs to the people, not the government.",NN NNS TO DT NN RB DT NN,NN_NNS NNS_TO TO_DT DT_NN NN_RB RB_DT DT_NN,NN_NNS_TO NNS_TO_DT TO_DT_NN DT_NN_RB NN_RB_DT RB_DT_NN,"S_NP_VP_. NP_NNP VP_VBZ_PP PP_IN_NP NP_NP_,_RB_NP NP_DT_NNS NP_DT_NN","Power belongs to the people, not the",NN NNS TO DT NN RB DT,NN_NNS NNS_TO TO_DT DT_NN NN_RB RB_DT,NN_NNS_TO NNS_TO_DT TO_DT_NN DT_NN_RB NN_RB_DT,"S_NP_VP NP_NNP VP_VBZ_PP PP_IN_NP NP_NP_,_NP NP_DT_NNS NP_RB_DT",Power belongs,belongs,NNS,NN NNS,NN_NNS,,S_NP_VP NP_NNP VP_VBZ,"the people, not the",the,DT,DT NN RB DT,DT_NN NN_RB RB_DT,DT_NN_RB NN_RB_DT,"NP_NP_,_NP NP_DT_NNS NP_RB_DT",to,to,to,TO,TO,TO,y,y,1.0
856,I am disgusted * myself for my bad behaviour.,with,by,na,na,1,prepositions,I am disgusted with myself for my bad behaviour.,PRP VBP VBN IN PRP IN PRP$ JJ NN,PRP_VBP VBP_VBN VBN_IN IN_PRP PRP_IN IN_PRP$ PRP$_JJ JJ_NN,PRP_VBP_VBN VBP_VBN_IN VBN_IN_PRP IN_PRP_IN PRP_IN_PRP$ IN_PRP$_JJ PRP$_JJ_NN,S_NP_VP_. NP_PRP VP_VBP_VP VP_VBN_PP_PP PP_IN_NP NP_PRP PP_IN_NP NP_PRP$_JJ_NN,I am disgusted with myself for my bad,PRP VBP VBN IN PRP IN PRP$ JJ,PRP_VBP VBP_VBN VBN_IN IN_PRP PRP_IN IN_PRP$ PRP$_JJ,PRP_VBP_VBN VBP_VBN_IN VBN_IN_PRP IN_PRP_IN PRP_IN_PRP$ IN_PRP$_JJ,S_NP_VP NP_PRP VP_VBP_VP VP_VBN_PP_PP PP_IN_NP NP_PRP PP_IN_NP NP_PRP$_JJ,I am disgusted,disgusted,VBN,PRP VBP VBN,PRP_VBP VBP_VBN,PRP_VBP_VBN,S_NP_VP NP_PRP VP_VBP_ADJP ADJP_JJ,myself for my bad,myself,PRP,NN IN PRP$ JJ,NN_IN IN_PRP$ PRP$_JJ,NN_IN_PRP$ IN_PRP$_JJ,NP_NP_PP NP_PRP PP_IN_NP NP_PRP$_JJ,with,with,with,IN,IN,IN,y,y,1.0
857,He disagreed * my boss over this issue.,with,against,na,na,1,prepositions,He disagreed with my boss over this issue.,PRP VBD IN PRP$ NN IN DT NN,PRP_VBD VBD_IN IN_PRP$ PRP$_NN NN_IN IN_DT DT_NN,PRP_VBD_IN VBD_IN_PRP$ IN_PRP$_NN PRP$_NN_IN NN_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBD_PP_PP PP_IN_NP NP_PRP$_NN PP_IN_NP NP_DT_NN,He disagreed with my boss over this,PRP VBD IN PRP$ NN IN DT,PRP_VBD VBD_IN IN_PRP$ PRP$_NN NN_IN IN_DT,PRP_VBD_IN VBD_IN_PRP$ IN_PRP$_NN PRP$_NN_IN NN_IN_DT,S_NP_VP NP_PRP VP_VBD_PP_PP PP_IN_NP NP_PRP$_NN PP_IN_NP NP_DT,He disagreed,disagreed,NN,PRP VBD,PRP_VBD,,S_NP_VP NP_PRP VP_VBD,my boss over this,my,PRP$,PRP$ NN IN DT,PRP$_NN NN_IN IN_DT,PRP$_NN_IN NN_IN_DT,NP_NP_PP NP_PRP$_NN PP_IN_NP NP_DT,with,with,with,IN,IN,IN,y,y,1.0
858,We completed the task * much support from the department.,with,by,na,na,1,prepositions,We completed the task with much support from the department.,PRP VBD DT NN IN JJ NN IN DT NN,PRP_VBD VBD_DT DT_NN NN_IN IN_JJ JJ_NN NN_IN IN_DT DT_NN,PRP_VBD_DT VBD_DT_NN DT_NN_IN NN_IN_JJ IN_JJ_NN JJ_NN_IN NN_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBD_NP_PP_PP NP_DT_NN PP_IN_NP NP_JJ_NN PP_IN_NP NP_DT_NN,We completed the task with much support from the,PRP VBD DT NN IN JJ NN IN DT,PRP_VBD VBD_DT DT_NN NN_IN IN_JJ JJ_NN NN_IN IN_DT,PRP_VBD_DT VBD_DT_NN DT_NN_IN NN_IN_JJ IN_JJ_NN JJ_NN_IN NN_IN_DT,S_NP_VP NP_PRP VP_VBD_NP_PP_PP NP_DT_NN PP_IN_NP NP_JJ_NN PP_IN_NP NP_DT,We completed the task,task,NN,PRP VBD DT NN,PRP_VBD VBD_DT DT_NN,PRP_VBD_DT VBD_DT_NN,S_NP_VP NP_PRP VP_VBD_NP NP_DT_NN,much support from the,much,JJ,JJ NN IN DT,JJ_NN NN_IN IN_DT,JJ_NN_IN NN_IN_DT,NP_NP_PP NP_JJ_NN PP_IN_NP NP_DT,with,with,with,IN,IN,IN,y,y,1.0
859,She is a distinguished member * the society.,of,with,na,na,1,prepositions,She is a distinguished member of the society.,PRP VBZ DT JJ NN IN DT NN,PRP_VBZ VBZ_DT DT_JJ JJ_NN NN_IN IN_DT DT_NN,PRP_VBZ_DT VBZ_DT_JJ DT_JJ_NN JJ_NN_IN NN_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBZ_NP NP_NP_PP NP_DT_JJ_NN PP_IN_NP NP_DT_NN,is a distinguished member of the society,VBZ DT JJ NN IN DT NN,VBZ_DT DT_JJ JJ_NN NN_IN IN_DT DT_NN,VBZ_DT_JJ DT_JJ_NN JJ_NN_IN NN_IN_DT IN_DT_NN,S_VP VP_VBZ_NP NP_NP_PP NP_DT_JJ_NN PP_IN_NP NP_DT_NN,is a distinguished member,member,NN,VBZ DT JJ NN,VBZ_DT DT_JJ JJ_NN,VBZ_DT_JJ DT_JJ_NN,SQ_VBZ_NP NP_DT_JJ_NN,the society,the,DT,DT NN,DT_NN,,NP_DT_NN,of,of,of,IN,IN,IN,y,y,1.0
860,The quality * his work was very high.,of,with,na,na,1,prepositions,The quality of his work was very high.,DT NN IN PRP$ NN VBD RB JJ,DT_NN NN_IN IN_PRP$ PRP$_NN NN_VBD VBD_RB RB_JJ,DT_NN_IN NN_IN_PRP$ IN_PRP$_NN PRP$_NN_VBD NN_VBD_RB VBD_RB_JJ,S_NP_VP_. NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NN VP_VBD_ADJP ADJP_RB_JJ,The quality of his work was very,DT NN IN PRP$ NN VBD RB,DT_NN NN_IN IN_PRP$ PRP$_NN NN_VBD VBD_RB,DT_NN_IN NN_IN_PRP$ IN_PRP$_NN PRP$_NN_VBD NN_VBD_RB,S_NP_VP NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NN VP_VBD_ADJP ADJP_RB,The quality,quality,NN,DT NN,DT_NN,,NP_DT_NN,his work was very,his,PRP$,PRP$ NN VBD RB,PRP$_NN NN_VBD VBD_RB,PRP$_NN_VBD NN_VBD_RB,S_NP_VP NP_PRP$_NN VP_VBD_ADJP ADJP_RB,of,of,of,IN,IN,IN,y,y,1.0
