id,qb_question,qb_answer,qb_choice1,qb_choice2,qb_choice3,qb_topic_id,topic,qa,qa_pos,qa_pos_bigram,qa_pos_trigram,qa_parse_tree,ss,ss_pos,ss_pos_bigram,ss_pos_trigram,ss_parse_tree,before,before_last,before_last_pos,before_pos,before_pos_bigram,before_pos_trigram,before_parse_tree,after,after_first,after_first_pos,after_pos,after_pos_bigram,after_pos_trigram,after_parse_tree,ans,ans_first,ans_last,ans_pos,ans_first_pos,ans_last_pos,ans_is_first,ans_is_last,ans_length
1,The Olympics team is aiming * a gold medal next year.,for,about,with,after,1,prepositions,The Olympics team is aiming for a gold medal next year.,DT NNP NN VBZ VBG IN DT NN NN IN NN,DT_NNP NNP_NN NN_VBZ VBZ_VBG VBG_IN IN_DT DT_NN NN_NN NN_IN IN_NN,DT_NNP_NN NNP_NN_VBZ NN_VBZ_VBG VBZ_VBG_IN VBG_IN_DT IN_DT_NN DT_NN_NN NN_NN_IN NN_IN_NN,S_NP_VP_. NP_DT_NNP_NN VP_VBZ_VP VP_VBG_PP_NP-TMP PP_IN_NP NP_DT_NN_NN NP-TMP_JJ_NN,Olympics team is aiming for a gold medal next,NNP NN VBZ VBG IN DT NN NN IN,NNP_NN NN_VBZ VBZ_VBG VBG_IN IN_DT DT_NN NN_NN NN_IN,NNP_NN_VBZ NN_VBZ_VBG VBZ_VBG_IN VBG_IN_DT IN_DT_NN DT_NN_NN NN_NN_IN,S_NP_VP NP_NNP_NN VP_VBZ_VP VP_VBG_PP_ADVP PP_IN_NP NP_DT_NN_NN ADVP_RB,Olympics team is aiming,aiming,VBG,NNP NN VBZ VBG,NNP_NN NN_VBZ VBZ_VBG,NNP_NN_VBZ NN_VBZ_VBG,S_NP_VP NP_NNP_NN VP_VBZ_VP VP_VBG,a gold medal next,a,DT,DT NN NN IN,DT_NN NN_NN NN_IN,DT_NN_NN NN_NN_IN,S_NP_ADVP NP_DT_NN_NN ADVP_RB,for,for,for,IN,IN,IN,x,x,1.0
2,She has a talent * art.,for,about,with,of,1,prepositions,She has a talent for art.,PRP VBZ DT NN IN NN,PRP_VBZ VBZ_DT DT_NN NN_IN IN_NN,PRP_VBZ_DT VBZ_DT_NN DT_NN_IN NN_IN_NN,S_NP_VP_. NP_PRP VP_VBZ_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_NN,She has a talent for art,PRP VBZ DT NN IN NN,PRP_VBZ VBZ_DT DT_NN NN_IN IN_NN,PRP_VBZ_DT VBZ_DT_NN DT_NN_IN NN_IN_NN,S_NP_VP NP_PRP VP_VBZ_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_NN,She has a talent,talent,NN,PRP VBZ DT NN,PRP_VBZ VBZ_DT DT_NN,PRP_VBZ_DT VBZ_DT_NN,S_NP_VP NP_PRP VP_VBZ_NP NP_DT_NN,art,art,NN,NN,,,NP_NN,for,for,for,IN,IN,IN,x,x,1.0
3,I felt sorry * my colleagues who lost their jobs.,for,about,with,by,1,prepositions,I felt sorry for my colleagues who lost their jobs.,PRP VBD NN IN PRP$ NNS WP VBD PRP$ NN,PRP_VBD VBD_NN NN_IN IN_PRP$ PRP$_NNS NNS_WP WP_VBD VBD_PRP$ PRP$_NN,PRP_VBD_NN VBD_NN_IN NN_IN_PRP$ IN_PRP$_NNS PRP$_NNS_WP NNS_WP_VBD WP_VBD_PRP$ VBD_PRP$_NN,S_NP_VP_. NP_PRP VP_VBD_ADJP_PP ADJP_JJ PP_IN_NP NP_NP_SBAR NP_PRP$_NNS SBAR_WHNP_S WHNP_WP S_VP VP_VBD_NP NP_PRP$_NNS,I felt sorry for my colleagues who lost,PRP VBD NN IN PRP$ NNS WP VBD,PRP_VBD VBD_NN NN_IN IN_PRP$ PRP$_NNS NNS_WP WP_VBD,PRP_VBD_NN VBD_NN_IN NN_IN_PRP$ IN_PRP$_NNS PRP$_NNS_WP NNS_WP_VBD,S_NP_VP NP_PRP VP_VBD_ADJP_PP ADJP_JJ PP_IN_NP NP_NP_SBAR NP_PRP$_NNS SBAR_WHNP_S WHNP_WP S_VP VP_VBD,I felt sorry,sorry,NN,PRP VBD NN,PRP_VBD VBD_NN,PRP_VBD_NN,S_NP_VP NP_PRP VP_VBD_ADJP ADJP_JJ,my colleagues who lost,my,PRP$,PRP$ NNS WP VBD,PRP$_NNS NNS_WP WP_VBD,PRP$_NNS_WP NNS_WP_VBD,NP_NP_SBAR NP_PRP$_NNS SBAR_WHNP_S WHNP_WP S_VP VP_VBD,for,for,for,IN,IN,IN,x,x,1.0
4,Everybody knows the reason * his failures.,for,about,with,by,1,prepositions,Everybody knows the reason for his failures.,NN VBZ DT NN IN PRP$ NN,NN_VBZ VBZ_DT DT_NN NN_IN IN_PRP$ PRP$_NN,NN_VBZ_DT VBZ_DT_NN DT_NN_IN NN_IN_PRP$ IN_PRP$_NN,S_NP_VP_. NP_NN VP_VBZ_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NNS,Everybody knows the reason for his failures,NN VBZ DT NN IN PRP$ NNS,NN_VBZ VBZ_DT DT_NN NN_IN IN_PRP$ PRP$_NNS,NN_VBZ_DT VBZ_DT_NN DT_NN_IN NN_IN_PRP$ IN_PRP$_NNS,S_NP_VP NP_NN VP_VBZ_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NNS,Everybody knows the reason,reason,NN,NN VBZ DT NN,NN_VBZ VBZ_DT DT_NN,NN_VBZ_DT VBZ_DT_NN,S_NP_VP NP_NN VP_VBZ_NP NP_DT_NN,his failures,his,PRP$,PRP$ NNS,PRP$_NNS,,FRAG_NP NP_PRP$_NNS,for,for,for,IN,IN,IN,x,x,1.0
5,Martin took the car out * a drive.,for,about,with,in,1,prepositions,Martin took the car out for a drive.,NNP VBD DT NN RP IN DT NN,NNP_VBD VBD_DT DT_NN NN_RP RP_IN IN_DT DT_NN,NNP_VBD_DT VBD_DT_NN DT_NN_RP NN_RP_IN RP_IN_DT IN_DT_NN,S_NP_VP_. NP_NNP VP_VBD_NP_PRT_PP NP_DT_NN PRT_RP PP_IN_NP NP_DT_NN,took the car out for a drive,VBD DT NN RP IN DT NN,VBD_DT DT_NN NN_RP RP_IN IN_DT DT_NN,VBD_DT_NN DT_NN_RP NN_RP_IN RP_IN_DT IN_DT_NN,S_VP VP_VBD_NP_PRT_PP NP_DT_NN PRT_RP PP_IN_NP NP_DT_NN,took the car out,out,IN,VBD DT NN RP,VBD_DT DT_NN NN_RP,VBD_DT_NN DT_NN_RP,S_VP VP_VBD_NP_PRT NP_DT_NN PRT_RP,a drive,a,DT,DT NN,DT_NN,,NP_DT_NN,for,for,for,IN,IN,IN,x,x,1.0
6,We are waiting * the bus.,for,about,with,by,1,prepositions,We are waiting for the bus.,PRP VBP VBG IN DT NN,PRP_VBP VBP_VBG VBG_IN IN_DT DT_NN,PRP_VBP_VBG VBP_VBG_IN VBG_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBP_VP VP_VBG_PP PP_IN_NP NP_DT_NN,We are waiting for the bus,PRP VBP VBG IN DT NN,PRP_VBP VBP_VBG VBG_IN IN_DT DT_NN,PRP_VBP_VBG VBP_VBG_IN VBG_IN_DT IN_DT_NN,S_NP_VP NP_PRP VP_VBP_VP VP_VBG_PP PP_IN_NP NP_DT_NN,We are waiting,waiting,VBG,PRP VBP VBG,PRP_VBP VBP_VBG,PRP_VBP_VBG,S_NP_VP NP_PRP VP_VBP_VP VP_VBG,the bus,the,DT,DT NN,DT_NN,,NP_DT_NN,for,for,for,IN,IN,IN,x,x,1.0
7,He shouted * help when he was stuck in the lift.,for,about,with,in,1,prepositions,He shouted for help when he was stuck in the lift.,PRP VBD IN NN WRB PRP VBD VBN IN DT NN,PRP_VBD VBD_IN IN_NN NN_WRB WRB_PRP PRP_VBD VBD_VBN VBN_IN IN_DT DT_NN,PRP_VBD_IN VBD_IN_NN IN_NN_WRB NN_WRB_PRP WRB_PRP_VBD PRP_VBD_VBN VBD_VBN_IN VBN_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBD_PP_SBAR PP_IN_NP NP_NN SBAR_WHADVP_S WHADVP_WRB S_NP_VP NP_PRP VP_VBD_VP VP_VBN_PP PP_IN_NP NP_DT_NN,He shouted for help when he was,PRP VBD IN NN WRB PRP VBD,PRP_VBD VBD_IN IN_NN NN_WRB WRB_PRP PRP_VBD,PRP_VBD_IN VBD_IN_NN IN_NN_WRB NN_WRB_PRP WRB_PRP_VBD,S_NP_VP NP_PRP VP_VBD_PP_SBAR PP_IN_NP NP_NN SBAR_WHADVP_S WHADVP_WRB S_NP_VP NP_PRP VP_VBD,He shouted,shouted,VBN,PRP VBD,PRP_VBD,,S_NP_VP NP_PRP VP_VBD,help when he was,help,NN,NN WRB PRP VBD,NN_WRB WRB_PRP PRP_VBD,NN_WRB_PRP WRB_PRP_VBD,S_VP VP_VB_SBAR SBAR_WHADVP_S WHADVP_WRB S_NP_VP NP_PRP VP_VBD,for,for,for,IN,IN,IN,x,x,1.0
8,I do not know the reason * his unhappiness.,for,about,with,by,1,prepositions,I do not know the reason for his unhappiness.,PRP VBP RB VB DT NN IN PRP$ NN,PRP_VBP VBP_RB RB_VB VB_DT DT_NN NN_IN IN_PRP$ PRP$_NN,PRP_VBP_RB VBP_RB_VB RB_VB_DT VB_DT_NN DT_NN_IN NN_IN_PRP$ IN_PRP$_NN,S_NP_VP_. NP_PRP VP_VBP_RB_VP VP_VB_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NN,not know the reason for his unhappiness,RB VB DT NN IN PRP$ NN,RB_VB VB_DT DT_NN NN_IN IN_PRP$ PRP$_NN,RB_VB_DT VB_DT_NN DT_NN_IN NN_IN_PRP$ IN_PRP$_NN,S_RB_VP VP_VB_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NN,not know the reason,reason,NN,RB VB DT NN,RB_VB VB_DT DT_NN,RB_VB_DT VB_DT_NN,S_RB_VP VP_VB_NP NP_DT_NN,his unhappiness,his,PRP$,PRP$ NN,PRP$_NN,,NP_PRP$_NN,for,for,for,IN,IN,IN,x,x,1.0
9,Sixty per cent the population voted * the people's party.,for,about,with,by,1,prepositions,Sixty per cent the population voted for the people's party.,NNP IN NN DT NN VBD IN DT NN NN,NNP_IN IN_NN NN_DT DT_NN NN_VBD VBD_IN IN_DT DT_NN NN_NN,NNP_IN_NN IN_NN_DT NN_DT_NN DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_NN,S_NP_VP_. NP_NP_PP NP_NNP PP_IN_NP NP_NP_NP NP_NN NP_DT_NN VP_VBD_PP PP_IN_NP NP_NP_NN NP_DT_NNS_POS,cent the population voted for the people's party,NN DT NN VBD IN DT NN NN,NN_DT DT_NN NN_VBD VBD_IN IN_DT DT_NN NN_NN,NN_DT_NN DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_NN,S_NP_VP NP_NP_NP NP_NN NP_DT_NN VP_VBD_PP PP_IN_NP NP_NP_NN NP_DT_NNS_POS,cent the population voted,voted,VBD,NN DT NN VBD,NN_DT DT_NN NN_VBD,NN_DT_NN DT_NN_VBD,S_NP_VP NP_NP_NP NP_NN NP_DT_NN VP_VBD,the people's party,the,DT,DT NN NN,DT_NN NN_NN,DT_NN_NN,NP_NP_NN NP_DT_NNS_POS,for,for,for,IN,IN,IN,x,x,1.0
10,I will be in Tokyo * two weeks.,for,about,around,by,1,prepositions,I will be in Tokyo for two weeks.,PRP MD VB IN NNP IN CD NN,PRP_MD MD_VB VB_IN IN_NNP NNP_IN IN_CD CD_NN,PRP_MD_VB MD_VB_IN VB_IN_NNP IN_NNP_IN NNP_IN_CD IN_CD_NN,S_NP_VP_. NP_PRP VP_MD_VP VP_VB_PP_PP PP_IN_NP NP_NNP PP_IN_NP NP_CD_NNS,will be in Tokyo for two weeks,MD VB IN NNP IN CD NNS,MD_VB VB_IN IN_NNP NNP_IN IN_CD CD_NNS,MD_VB_IN VB_IN_NNP IN_NNP_IN NNP_IN_CD IN_CD_NNS,S_VP VP_MD_VP VP_VB_PP_PP PP_IN_NP NP_NNP PP_IN_NP NP_CD_NNS,will be in Tokyo,Tokyo,NNP,MD VB IN NNP,MD_VB VB_IN IN_NNP,MD_VB_IN VB_IN_NNP,S_VP VP_MD_VP VP_VB_PP PP_IN_NP NP_NNP,two weeks,two,CD,CD NNS,CD_NNS,,NP-TMP_CD_NNS,for,for,for,IN,IN,IN,x,x,1.0
